manufacturer,spec,usecase,speed,ramtiming,model,xmp,color,rgb,image_url
PATRIOT,DDR5,데스크탑용,6000,CL30,VIPER VENOM,True,,False,https://img.danawa.com/prod_img/500000/501/144/img/56144501_1.jpg?shrink=130:130&_v=20240611173103
PATRIOT,DDR5,데스크탑용,6000,CL30,VIPER VENOM,True,,True,https://img.danawa.com/prod_img/500000/432/144/img/56144432_1.jpg?shrink=130:130&_v=20240611171753
실리콘파워,DDR5,데스크탑용,4800,CL30,POWER VALUE,False,,False,https://img.danawa.com/prod_img/500000/881/044/img/55044881_1.jpg?shrink=130:130&_v=20240530165538
실리콘파워,DDR5,데스크탑용,3200,CL30,XPOWER ZENITH,False,WHITE,False,https://img.danawa.com/prod_img/500000/782/044/img/55044782_1.jpg?shrink=130:130&_v=20240530165031
실리콘파워,DDR5,데스크탑용,3200,CL30,XPOWER ZENITH,False,BLACK,True,https://img.danawa.com/prod_img/500000/746/044/img/55044746_1.jpg?shrink=130:130&_v=20240530164815
실리콘파워,DDR5,데스크탑용,3200,CL30,XPOWER ZENITH,False,WHITE,True,https://img.danawa.com/prod_img/500000/719/044/img/55044719_1.jpg?shrink=130:130&_v=20240530164648
아이티젠,DDR4,데스크탑용,3200,,,False,,False,https://img.danawa.com/prod_img/500000/183/482/img/54482183_1.jpg?shrink=130:130&_v=20240524105959
아이티젠,DDR4,데스크탑용,2133,,,False,,False,https://img.danawa.com/prod_img/500000/123/482/img/54482123_1.jpg?shrink=130:130&_v=20240524105411
아이티젠,DDR4,데스크탑용,2666,,,False,,False,https://img.danawa.com/prod_img/500000/835/481/img/54481835_1.jpg?shrink=130:130&_v=20240524103422
아이티젠,DDR4,데스크탑용,2400,,,False,,False,https://img.danawa.com/prod_img/500000/793/481/img/54481793_1.jpg?shrink=130:130&_v=20240524103038
아이티젠,DDR3,데스크탑용,1600,,,False,,False,https://img.danawa.com/prod_img/500000/355/481/img/54481355_1.jpg?shrink=130:130&_v=20240524093934
마이크론,DDR5,데스크탑용,6000,CL36,CRUCIAL PRO OVERCLOCKING 아스크텍,True,WHITE,False,https://img.danawa.com/prod_img/500000/406/214/img/54214406_1.jpg?shrink=130:130&_v=20240521112100
G.SKILL,DDR5,데스크탑용,5200,CL40,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/295/103/img/54103295_1.jpg?shrink=130:130&_v=20240521130204
G.SKILL,DDR5,데스크탑용,5200,CL40,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/277/103/img/54103277_1.jpg?shrink=130:130&_v=20240521130148
G.SKILL,DDR5,데스크탑용,5200,CL40,RIPJAWS S5 J,True,WHITE,False,https://img.danawa.com/prod_img/500000/175/103/img/54103175_1.jpg?shrink=130:130&_v=20240521130047
G.SKILL,DDR5,데스크탑용,5200,CL40,RIPJAWS S5 J,True,BLACK,False,https://img.danawa.com/prod_img/500000/109/103/img/54103109_1.jpg?shrink=130:130&_v=20240521130503
G.SKILL,DDR5,데스크탑용,5200,CL40,FLARE X5 J,False,,False,https://img.danawa.com/prod_img/500000/935/102/img/54102935_1.jpg?shrink=130:130&_v=20240603131645
TEAMGROUP,DDR5,데스크탑용,8000,CL38,T-FORCE XTREEM A 서린,True,,True,https://img.danawa.com/prod_img/500000/006/101/img/54101006_1.jpg?shrink=130:130&_v=20240603132737
TEAMGROUP,DDR5,데스크탑용,6000,CL38,T-FORCE VULCAN ECO 서린,True,,False,https://img.danawa.com/prod_img/500000/964/100/img/54100964_1.jpg?shrink=130:130&_v=20240603132801
TEAMGROUP,DDR5,데스크탑용,6000,CL30,T-FORCE VULCAN ECO 서린,True,,False,https://img.danawa.com/prod_img/500000/928/100/img/54100928_1.jpg?shrink=130:130&_v=20240603132808
TEAMGROUP,DDR5,데스크탑용,6400,CL52,ELITE 서린,False,,False,https://img.danawa.com/prod_img/500000/718/100/img/54100718_1.jpg?shrink=130:130&_v=20240603132829
OLOY,DDR5,데스크탑용,7600,CL36,BLADE,True,WHITE,True,https://img.danawa.com/prod_img/500000/647/371/img/52371647_1.jpg?shrink=130:130&_v=20240510175926
OLOY,DDR5,데스크탑용,7600,CL36,BLADE,True,BLACK,True,https://img.danawa.com/prod_img/500000/644/371/img/52371644_1.jpg?shrink=130:130&_v=20240510175629
